ID,name,description,p,s,label,software,filter,study
857,fs.s3a.s3guard.ddb.table.capacity.read,"Provisioned throughput requirements for read operations in terms of capacity units for the DynamoDB table. This config value will only be used when creating a new DynamoDB table, though later you can manually provision by increasing or decreasing read capacity as needed for existing tables. See DynamoDB documents for more information.",0,0,others,core,0,0
858,fs.s3a.s3guard.ddb.table.capacity.write,Provisioned throughput requirements for write operations in terms of capacity units for the DynamoDB table. Refer to related config fs.s3a.s3guard.ddb.table.capacity.read before usage.,0,0,others,core,0,0
859,fs.s3a.s3guard.ddb.table.create,"If true, the S3A client will create the table if it does not already exist.",0,0,others,core,0,0
860,fs.s3a.secret.key,AWS secret key used by S3A file system. Omit for IAM role-based or provider-based authentication.,0,0,others,core,0,0
862,fs.s3a.server-side-encryption.key,"Specific encryption key to use if fs.s3a.server-side-encryption-algorithm has been set to 'SSE-KMS' or 'SSE-C'. In the case of SSE-C, the value of this property should be the Base64 encoded key. If you are using SSE-KMS and leave this property empty, you'll be using your default's S3 KMS key, otherwise you should set this property to the specific KMS key id.",0,0,others,core,0,0
863,fs.s3a.server-side-encryption-algorithm,"Specify a server-side encryption algorithm for s3a: file system. Unset by default. It supports the following values: 'AES256' (for SSE-S3), 'SSE-KMS' and 'SSE-C'.",1,2,security-tradeoff,core,0,0
864,fs.s3a.session.token,"Session token, when using org.apache.hadoop.fs.s3a.TemporaryAWSCredentialsProvider as one of the providers.",0,0,others,core,0,0
865,fs.s3a.signing-algorithm,Override the default signing algorithm so legacy implementations can still be used,0,0,others,core,0,1
866,fs.s3a.socket.recv.buffer,Socket receive buffer hint to amazon connector. Represented in bytes.,1,1,resource,core,0,0
867,fs.s3a.socket.send.buffer,Socket send buffer hint to amazon connector. Represented in bytes.,1,1,resource,core,0,0
868,fs.s3a.threads.keepalivetime,Number of seconds a thread can be idle before being terminated.,0,0,others,core,0,0
869,fs.s3a.threads.max,The total number of threads available in the filesystem for data uploads *or any other queued filesystem operation*.,1,1,resource,core,0,0
870,fs.s3a.user.agent.prefix,"Sets a custom value that will be prepended to the User-Agent header sent in HTTP requests to the S3 back-end by S3AFileSystem. The User-Agent header always includes the Hadoop version number followed by a string generated by the AWS SDK. An example is ""User-Agent: Hadoop 2.8.0, aws-sdk-java/1.10.6"". If this optional property is set, then its value is prepended to create a customized User-Agent. For example, if this configuration property was set to ""MyApp"", then an example of the resulting User-Agent would be ""User-Agent: MyApp, Hadoop 2.8.0, aws-sdk-java/1.10.6"".",0,0,others,core,0,0
873,fs.s3n.block.size,Block size to use when reading files using the native S3 filesystem (s3n: URIs).,1,5,workload-specific,core,0,0
874,fs.s3n.multipart.copy.block.size,The block size for multipart copy in native S3 filesystem. Default size is 5GB.,1,5,workload-specific,core,0,1
875,fs.s3n.multipart.uploads.block.size,The block size for multipart uploads to native S3 filesystem. Default size is 64MB.,1,5,workload-specific,core,0,1
876,fs.s3n.multipart.uploads.enabled,"Setting this property to true enables multiple uploads to native S3 filesystem. When uploading a file, it is split into blocks if the size is larger than fs.s3n.multipart.uploads.block.size.",1,4,limited-side-effect,core,0,0
877,fs.s3n.server-side-encryption-algorithm,"Specify a server-side encryption algorithm for S3. Unset by default, and the only other currently allowable value is AES256.",0,0,others,core,0,0
878,fs.swift.impl,The implementation class of the OpenStack Swift Filesystem,0,0,others,core,0,0
879,fs.trash.checkpoint.interval,"Number of minutes between trash checkpoints. Should be smaller or equal to fs.trash.interval. If zero, the value is set to the value of fs.trash.interval. Every time the checkpointer runs it creates a new checkpoint out of current and removes checkpoints created more than fs.trash.interval minutes ago.",0,0,others,core,0,0
880,fs.trash.interval,"Number of minutes after which the checkpoint gets deleted. If zero, the trash feature is disabled. This option may be configured both on the server and the client. If trash is disabled server side then the client side configuration is checked. If trash is enabled on the server side then the value configured on the server is used and the client configuration value is ignored.",0,0,others,core,0,1
881,fs.viewfs.rename.strategy,"Allowed rename strategy to rename between multiple mountpoints. Allowed values are SAME_MOUNTPOINT,SAME_TARGET_URI_ACROSS_MOUNTPOINT and SAME_FILESYSTEM_ACROSS_MOUNTPOINT.",0,0,others,core,0,0
882,fs.wasb.impl,The implementation class of the Native Azure Filesystem,0,0,others,core,0,0
883,fs.wasbs.impl,The implementation class of the Secure Native Azure Filesystem,0,0,others,core,0,0
884,ftp.blocksize,Block size,1,5,workload-specific,core,0,1
885,ftp.bytes-per-checksum,The number of bytes per checksum. Must not be larger than ftp.stream-buffer-size,0,0,others,core,0,0
886,ftp.client-write-packet-size,Packet size for clients to write,0,0,others,core,0,0
887,ftp.replication,Replication factor,1,3,reliability-tradeoff,core,0,0
888,ftp.stream-buffer-size,"The size of buffer to stream files. The size of this buffer should probably be a multiple of hardware page size (4096 on Intel x86), and it determines how much data is buffered during read and write operations.",1,1,resource,core,0,0
889,ha.failover-controller.cli-check.rpc-timeout.ms,"Timeout that the CLI (manual) FC waits for monitorHealth, getServiceState",0,0,others,core,0,0
890,ha.failover-controller.graceful-fence.connection.retries,FC connection retries for graceful fencing,0,0,others,core,0,0
891,ha.failover-controller.graceful-fence.rpc-timeout.ms,Timeout that the FC waits for the old active to go to standby,0,0,others,core,0,1
892,ha.failover-controller.new-active.rpc-timeout.ms,Timeout that the FC waits for the new active to become active,0,0,others,core,0,0
893,ha.health-monitor.check-interval.ms,How often to check the service.,1,5,workload-specific,core,0,0
894,ha.health-monitor.connect-retry-interval.ms,How often to retry connecting to the service.,0,0,others,core,0,1
895,ha.health-monitor.rpc-timeout.ms,Timeout for the actual monitorHealth() calls.,0,0,others,core,0,0
896,ha.health-monitor.sleep-after-disconnect.ms,How long to sleep after an unexpected RPC error.,0,0,others,core,0,0
898,ha.zookeeper.auth,"A comma-separated list of ZooKeeper authentications to add when connecting to ZooKeeper. These are specified in the same format as used by the ""addauth"" command in the ZK CLI. It is important that the authentications specified here are sufficient to access znodes with the ACL specified in ha.zookeeper.acl. If the auths contain secrets, you may instead specify a path to a file, prefixed with the '@' symbol, and the value of this configuration will be loaded from within.",0,0,others,core,0,1
901,ha.zookeeper.session-timeout.ms,"The session timeout to use when the ZKFC connects to ZooKeeper. Setting this value to a lower value implies that server crashes will be detected more quickly, but risks triggering failover too aggressively in the case of a transient error or network blip.",0,0,others,core,0,0
902,hadoop.caller.context.enabled,"When the feature is enabled, additional fields are written into name-node audit log records for auditing coarse granularity operations.",1,6,function-tradeoff,core,0,0
903,hadoop.caller.context.max.size,"The maximum bytes a caller context string can have. If the passed caller context is longer than this maximum bytes, client will truncate it before sending to server. Note that the server may have a different maximum size, and will truncate the caller context to the maximum size it allows.",0,0,others,core,0,0
904,hadoop.caller.context.signature.max.size,"The caller's signature (optional) is for offline validation. If the signature exceeds the maximum allowed bytes in server, the caller context will be abandoned, in which case the caller context will not be recorded in audit logs.",1,5,workload-specific,core,0,1
906,hadoop.htrace.span.receiver.classes,The class names of the Span Receivers to use for Hadoop.,0,0,others,core,0,0
907,haDoop.http.authentication.cookie.domain,"The domain to use for the HTTP cookie that stores the authentication token. In order to authentiation to work correctly across all Hadoop nodes web-consoles the domain must be correctly set. IMPORTANT: when using IP addresses, browsers ignore cookies with domain settings. For this setting to work properly all nodes in the cluster must be configured to generate URLs with hostname.domain names on it.",0,0,others,core,0,1
910,hadoop.http.authentication.signature.secret.file,The signature secret for signing the authentication tokens. The same secret should be used for JT/NN/DN/TT configurations.,0,0,others,core,0,0
911,hadoop.http.authentication.simple.anonymous.allowed,Indicates if anonymous requests are allowed when using 'simple' authentication.,0,0,others,core,0,0
912,hadoop.http.authentication.token.validity,Indicates how long (in seconds) an authentication token is valid before it has to be renewed.,0,0,others,core,0,0
913,hadoop.http.authentication.type,Defines authentication used for Oozie HTTP endpoint.,1,2,security-tradeoff,core,0,1
914,hadoop.http.cross-origin.allowed-headers,Comma separated list of headers that are allowed for web services needing cross-origin (CORS) support.,0,0,others,core,0,0
915,hadoop.http.cross-origin.allowed-methods,Comma separated list of methods that are allowed for web services needing cross-origin (CORS) support.,0,0,others,core,0,0
916,hadoop.http.cross-origin.allowed-origins,Comma separated list of origins that are allowed for web services needing cross-origin (CORS) support. Wildcards (*) and patterns allowed,0,0,others,core,0,1
917,hadoop.http.cross-origin.enabled,Enable/disable the cross-origin (CORS) filter.,1,2,security-tradeoff,core,0,0
918,hadoop.http.cross-origin.max-age,The number of seconds a pre-flighted request can be cached for web services needing cross-origin (CORS) support.,0,0,others,core,0,0
920,hadoop.http.logs.enabled,"Enable the ""/logs"" endpoint on all Hadoop daemons, which serves local logs, but may be considered a security risk due to it listing the contents of a directory.",1,6,function-tradeoff,core,0,1
922,hadoop.jetty.logs.serve.aliases,Enable/Disable aliases serving from jetty,1,4,limited-side-effect,core,0,0
924,hadoop.kerberos.min.seconds.before.relogin,"The minimum time between relogin attempts for Kerberos, in seconds.",0,0,others,core,0,0
925,hadoop.registry.jaas.context,Key to define the JAAS context. Used in secure mode,0,0,others,core,0,0
926,hadoop.registry.kerberos.realm,"The kerberos realm: used to set the realm of system principals which do not declare their realm, and any other accounts that need the value. If empty, the default realm of the running process is used. If neither are known and the realm is needed, then the registry service/client will fail.",0,0,others,core,0,1
927,hadoop.registry.rm.enabled,"Is the registry enabled in the YARN Resource Manager? If true, the YARN RM will, as needed. create the user and system paths, and purge service records when containers, application attempts and applications complete. If false, the paths must be created by other means, and no automatic cleanup of service records will take place.",1,6,function-tradeoff,core,0,0
928,hadoop.registry.secure,"Key to set if the registry is secure. Turning it on changes the permissions policy from ""open access"" to restrictions on kerberos with the option of a user adding one or more auth key pairs down their own tree.",1,2,security-tradeoff,core,0,0
929,hadoop.registry.system.acls,"A comma separated list of Zookeeper ACL identifiers with system access to the registry in a secure cluster. These are given full access to all entries. If there is an ""@"" at the end of a SASL entry it instructs the registry client to append the default kerberos domain.",0,0,others,core,0,0
930,hadoop.registry.zk.connection.timeout.ms,Zookeeper connection timeout in milliseconds,0,0,others,core,0,1
932,hadoop.registry.zk.retry.ceiling.ms,"Zookeeper retry limit in milliseconds, during exponential backoff. This places a limit even if the retry times and interval limit, combined with the backoff policy, result in a long retry period",0,0,others,core,0,0
933,hadoop.registry.zk.retry.times,Zookeeper connection retry count before failing,0,0,others,core,0,1
935,hadoop.rpc.protection,"A comma-separated list of protection values for secured sasl connections. Possible values are authentication, integrity and privacy. authentication means authentication only and no integrity or privacy; integrity implies authentication and integrity are enabled; and privacy implies all of authentication, integrity and privacy are enabled. hadoop.security.saslproperties.resolver.class can be used to override the hadoop.rpc.protection for a connection at the server side.",1,2,security-tradeoff,core,0,0
936,hadoop.rpc.socket.factory.class.ClientProtocol,"SocketFactory to use to connect to a DFS. If null or empty, use hadoop.rpc.socket.class.default. This socket factory is also used by DFSClient to create sockets to DataNodes.",0,0,others,core,0,0
937,hadoop.rpc.socket.factory.class.default,"Default SocketFactory to use. This parameter is expected to be formatted as ""package.FactoryClassName"".",0,0,others,core,0,0
938,hadoop.security.auth_to_local,Maps kerberos principals to local user names,0,0,others,core,0,1
939,hadoop.security.authentication,"Possible values are simple (no authentication), and kerberos",1,2,security-tradeoff,core,0,0
940,hadoop.security.authorization,Is service-level authorization enabled?,1,2,security-tradeoff,core,0,1
941,hadoop.security.credential.clear-text-fallback,true or false to indicate whether or not to fall back to storing credential password as clear text. The default value is true. This property only works when the password can't not be found from credential providers.,1,2,security-tradeoff,core,0,0
944,hadoop.security.crypto.buffer.size,The buffer size used by CryptoInputStream and CryptoOutputStream.,1,1,resource,core,0,0
945,hadoop.security.crypto.cipher.suite,Cipher suite for crypto codec.,1,2,security-tradeoff,core,0,0
946,hadoop.security.crypto.codec.classes.aes.ctr.nopadding,"Comma-separated list of crypto codec implementations for AES/CTR/NoPadding. The first implementation will be used if available, others are fallbacks.",0,0,others,core,0,1
947,hadoop.security.crypto.codec.classes.EXAMPLECIPHERSUITE,"The prefix for a given crypto codec, contains a comma-separated list of implementation classes for a given crypto codec (eg EXAMPLECIPHERSUITE). The first implementation will be used if available, others are fallbacks.",0,0,others,core,0,1
949,hadoop.security.crypto.jceks.key.serialfilter,"Enhanced KeyStore Mechanisms in JDK 8u171 introduced jceks.key.serialFilter. If jceks.key.serialFilter is configured, the JCEKS KeyStore uses it during the deserialization of the encrypted Key object stored inside a SecretKeyEntry. If jceks.key.serialFilter is not configured it will cause an error when recovering keystore file in KeyProviderFactory when recovering key from keystore file using JDK 8u171 or newer. The filter pattern uses the same format as jdk.serialFilter. The value of this property will be used as the following: 1. The value of jceks.key.serialFilter system property takes precedence over the value of this property. 2. In the absence of jceks.key.serialFilter system property the value of this property will be set as the value of jceks.key.serialFilter. 3. If the value of this property and jceks.key.serialFilter system property has not been set, org.apache.hadoop.crypto.key.KeyProvider sets a default value for jceks.key.serialFilter.",0,0,others,core,0,0
951,hadoop.security.dns.log-slow-lookups.enabled,Time name lookups (via SecurityUtil) and log them if they exceed the configured threshold.,1,5,workload-specific,core,0,0
952,hadoop.security.dns.log-slow-lookups.threshold.ms,"If slow lookup logging is enabled, this threshold is used to decide if a lookup is considered slow enough to be logged.",1,5,workload-specific,core,0,0
954,hadoop.security.group.mapping,"Class for user to group mapping (get groups for a given user) for ACL. The default implementation, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, will determine if the Java Native Interface (JNI) is available. If JNI is available the implementation will use the API within hadoop to resolve a list of groups for a user. If JNI is not available then the shell implementation, ShellBasedUnixGroupsMapping, is used. This implementation shells out to the Linux/Unix environment with the bash -c groups command to resolve a list of groups for a user.",0,0,others,core,0,0
959,hadoop.security.group.mapping.ldap.connection.timeout.ms,"This property is the connection timeout (in milliseconds) for LDAP operations. If the LDAP provider doesn't establish a connection within the specified period, it will abort the connect attempt. Non-positive value means no LDAP connection timeout is specified in which case it waits for the connection to establish until the underlying network times out.",0,0,others,core,0,0
960,hadoop.security.group.mapping.ldap.directory.search.timeout,The attribute applied to the LDAP SearchControl properties to set a maximum time limit when searching and awaiting a result. Set to 0 if infinite wait period is desired. Default is 10 seconds. Units in milliseconds.,0,0,others,core,0,0
963,hadoop.security.group.mapping.ldap.posix.attr.uid.name,The attribute of posixAccount to use when groups for membership. Mostly useful for schemas wherein groups have memberUids that use an attribute other than uidNumber.,0,0,others,core,0,0
964,hadoop.security.group.mapping.ldap.read.timeout.ms,"This property is the read timeout (in milliseconds) for LDAP operations. If the LDAP provider doesn't get a LDAP response within the specified period, it will abort the read attempt. Non-positive value means no read timeout is specified in which case it waits for the response infinitely.",0,0,others,core,0,1
966,hadoop.security.group.mapping.ldap.search.attr.member,The attribute of the group object that identifies the users that are members of the group. The default will usually be appropriate for any LDAP installation.,0,0,others,core,0,0
969,hadoop.security.group.mapping.ldap.search.filter.user,"An additional filter to use when searching for LDAP users. The default will usually be appropriate for Active Directory installations. If connecting to an LDAP server with a non-AD schema, this should be replaced with (&(objectClass=inetOrgPerson)(uid={0}). {0} is a special string used to denote where the username fits into the filter. If the LDAP server supports posixGroups, Hadoop can enable the feature by setting the value of this property to ""posixAccount"" and the value of the hadoop.security.group.mapping.ldap.search.filter.group property to ""posixGroup"".",0,0,others,core,0,0
970,hadoop.security.group.mapping.ldap.search.group.hierarchy.levels,The number of levels to go up the group hierarchy when determining which groups a user is part of. 0 Will represent checking just the group that the user belongs to. Each additional level will raise the time it takes to execute a query by at most hadoop.security.group.mapping.ldap.directory.search.timeout. The default will usually be appropriate for all LDAP systems.,0,0,others,core,0,0
971,hadoop.security.group.mapping.ldap.ssl,Whether or not to use SSL when connecting to the LDAP server.,1,2,security-tradeoff,core,0,0
972,hadoop.security.group.mapping.ldap.ssl.keystore,File path to the SSL keystore that contains the SSL certificate required by the LDAP server.,0,0,others,core,0,0
973,hadoop.security.group.mapping.ldap.ssl.keystore.password,The password of the LDAP SSL keystore. this property name is used as an alias to get the password from credential providers. If the password can not be found and hadoop.security.credential.clear-text-fallback is true LDAPGroupsMapping uses the value of this property for password.,0,0,others,core,0,1
974,hadoop.security.group.mapping.ldap.ssl.keystore.password.file,"The path to a file containing the password of the LDAP SSL keystore. If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.ssl.keystore.password is not set, LDAPGroupsMapping reads password from the file. IMPORTANT: This file should be readable only by the Unix user running the daemons and should be a local file.",0,0,others,core,0,0
975,hadoop.security.group.mapping.ldap.ssl.truststore,File path to the SSL truststore that contains the root certificate used to sign the LDAP server's certificate. Specify this if the LDAP server's certificate is not signed by a well known certificate authority.,0,0,others,core,0,0
976,hadoop.security.group.mapping.ldap.ssl.truststore.password.file,The path to a file containing the password of the LDAP SSL truststore. IMPORTANT: This file should be readable only by the Unix user running the daemons.,0,0,others,core,0,0
979,hadoop.security.group.mapping.providers,Comma separated of names of other providers to provide user to group mapping. Used by CompositeGroupsMapping.,0,0,others,core,0,0
980,hadoop.security.group.mapping.providers.combined,"true or false to indicate whether groups from the providers are combined or not. The default value is true. If true, then all the providers will be tried to get groups and all the groups are combined to return as the final results. Otherwise, providers are tried one by one in the configured list order, and if any groups are retrieved from any provider, then the groups will be returned without trying the left ones.",1,2,security-tradeoff,core,0,1
981,hadoop.security.groups.cache.background.reload,"Whether to reload expired user->group mappings using a background thread pool. If set to true, a pool of hadoop.security.groups.cache.background.reload.threads is created to update the cache in the background.",1,4,limited-side-effect,core,0,0
982,hadoop.security.groups.cache.background.reload.threads,Only relevant if hadoop.security.groups.cache.background.reload is true. Controls the number of concurrent background user->group cache entry refreshes. Pending refresh requests beyond this value are queued and processed when a thread is free.,1,1,resource,core,0,0
983,hadoop.security.groups.cache.secs,"This is the config controlling the validity of the entries in the cache containing the user->group mapping. When this duration has expired, then the implementation of the group mapping provider is invoked to get the groups of the user and then cached back.",1,5,workload-specific,core,0,0
984,hadoop.security.groups.cache.warn.after.ms,"If looking up a single user to group takes longer than this amount of milliseconds, we will log a warning message.",1,5,workload-specific,core,0,0
985,hadoop.security.groups.negative-cache.secs,"Expiration time for entries in the the negative user-to-group mapping caching, in seconds. This is useful when invalid users are retrying frequently. It is suggested to set a small value for this expiration, since a transient error in group lookup could temporarily lock out a legitimate user. Set this to zero or negative value to disable negative user-to-group caching.",1,5,workload-specific,core,0,1
986,hadoop.security.groups.shell.command.timeout,"Used by the ShellBasedUnixGroupsMapping class, this property controls how long to wait for the underlying shell command that is run to fetch groups. Expressed in seconds (e.g. 10s, 1m, etc.), if the running command takes longer than the value configured, the command is aborted and the groups resolver would return a result of no groups found. A value of 0s (default) would mean an infinite wait (i.e. wait until the command exits on its own).",0,0,others,core,0,0
987,hadoop.security.impersonation.provider.class,"A class which implements ImpersonationProvider interface, used to authorize whether one user can impersonate a specific user. If not specified, the DefaultImpersonationProvider will be used. If a class is specified, then that class will be used to determine the impersonation capability.",0,0,others,core,0,1
988,hadoop.security.instrumentation.requires.admin,"Indicates if administrator ACLs are required to access instrumentation servlets (JMX, METRICS, CONF, STACKS).",1,2,security-tradeoff,core,0,0
989,hadoop.security.java.secure.random.algorithm,The java secure random algorithm.,0,0,others,core,0,0
990,hadoop.security.key.provider.path,"The KeyProvider to use when managing zone keys, and interacting with encryption keys when reading and writing to an encryption zone. For hdfs clients, the provider path will be same as namenode's provider path.",0,0,others,core,0,0
991,hadoop.security.kms.client.authentication.retry-count,Number of time to retry connecting to KMS on authentication failure,0,0,others,core,0,0
992,hadoop.security.kms.client.encrypted.key.cache.expiry,"Cache expiry time for a Key, after which the cache Queue for this key will be dropped. Default = 12hrs",1,5,workload-specific,core,0,0
993,hadoop.security.kms.client.encrypted.key.cache.low-watermark,"If size of the EncryptedKeyVersion cache Queue falls below the low watermark, this cache queue will be scheduled for a refill",1,5,workload-specific,core,0,0
994,hadoop.security.kms.client.encrypted.key.cache.num.refill.threads,Number of threads to use for refilling depleted EncryptedKeyVersion cache Queues,1,1,resource,core,0,1
995,hadoop.security.kms.client.encrypted.key.cache.size,Size of the EncryptedKeyVersion cache Queue for each key,1,1,resource,core,0,0
996,hadoop.security.kms.client.failover.sleep.base.millis,"Expert only. The time to wait, in milliseconds, between failover attempts increases exponentially as a function of the number of attempts made so far, with a random factor of +/- 50%. This option specifies the base value used in the failover calculation. The first failover will retry immediately. The 2nd failover attempt will delay at least hadoop.security.client.failover.sleep.base.millis milliseconds. And so on.",0,0,others,core,0,0
997,hadoop.security.kms.client.failover.sleep.max.millis,"Expert only. The time to wait, in milliseconds, between failover attempts increases exponentially as a function of the number of attempts made so far, with a random factor of +/- 50%. This option specifies the maximum value to wait between failovers. Specifically, the time between two failover attempts will not exceed +/- 50% of hadoop.security.client.failover.sleep.max.millis milliseconds.",0,0,others,core,0,0
998,hadoop.security.kms.client.timeout,"Sets value for KMS client connection timeout, and the read timeout to KMS servers.",0,0,others,core,0,0
999,hadoop.security.random.device.file.path,OS security random device file path.,0,0,others,core,0,0
1000,hadoop.security.saslproperties.resolver.class,"SaslPropertiesResolver used to resolve the QOP used for a connection. If not specified, the full set of values specified in hadoop.rpc.protection is used while determining the QOP used for the connection. If a class is specified, then the QOP values returned by the class will be used while determining the QOP used for the connection.",0,0,others,core,0,0
1001,hadoop.security.secure.random.impl,Implementation of secure random.,0,0,others,core,0,0
1002,hadoop.security.sensitive-config-keys,"A comma-separated or multi-line list of regular expressions to match configuration keys that should be redacted where appropriate, for example, when logging modified properties during a reconfiguration, private credentials should not be logged.",0,0,others,core,0,1
1004,hadoop.security.uid.cache.secs,This is the config controlling the validity of the entries in the cache containing the userId to userName and groupId to groupName used by NativeIO getFstat().,1,5,workload-specific,core,0,0
1005,hadoop.service.shutdown.timeout,"Timeout to wait for each shutdown operation to complete. If a hook takes longer than this time to complete, it will be interrupted, so the service will shutdown. This allows the service shutdown to recover from a blocked operation. Some shutdown hooks may need more time than this, for example when a large amount of data needs to be uploaded to an object store. In this situation: increase the timeout. The minimum duration of the timeout is 1 second, ""1s"".",0,0,others,core,0,1
1006,hadoop.shell.missing.defaultFs.warning,Enable hdfs shell commands to display warnings if (fs.defaultFS) property is not set.,1,6,function-tradeoff,core,0,0
1007,hadoop.shell.safely.delete.limit.num.files,"Used by -safely option of hadoop fs shell -rm command to avoid accidental deletion of large directories. When enabled, the -rm command requires confirmation if the number of files to be deleted is greater than this limit. The default limit is 100 files. The warning is disabled if the limit is 0 or the -safely is not specified in -rm command.",0,0,others,core,0,0
1009,hadoop.ssl.client.conf,"Resource file from which ssl client keystore information will be extracted This file is looked up in the classpath, typically it should be in Hadoop conf/ directory.",0,0,others,core,0,0
1010,hadoop.ssl.enabled,Deprecated. Use dfs.http.policy and yarn.http.policy instead.,0,0,others,core,0,0
1011,hadoop.ssl.enabled.protocols,The supported SSL protocols.,0,0,others,core,0,1
1012,hadoop.ssl.hostname.verifier,The hostname verifier to provide for HttpsURLConnections.,1,2,security-tradeoff,core,0,0
1013,hadoop.ssl.keystores.factory.class,The keystores factory to use for retrieving certificates.,0,0,others,core,0,0
1014,hadoop.ssl.require.client.cert,Whether client certificates are required,1,2,security-tradeoff,core,0,0
1015,hadoop.ssl.server.conf,"Resource file from which ssl server keystore information will be extracted. This file is looked up in the classpath, typically it should be in Hadoop conf/ directory.",0,0,others,core,0,0
1017,hadoop.token.files,List of token cache files that have delegation tokens for hadoop service,0,0,others,core,0,0
1018,hadoop.user.group.static.mapping.overrides,"Static mapping of user to groups. This will override the groups if available in the system for the specified user. In other words, groups look-up will not happen for these users, instead groups mapped in this configuration will be used. Mapping should be in this format. user1=group1,group2;user2=;user3=group2; Default, ""dr.who=;"" will consider ""dr.who"" as user without groups.",0,0,others,core,0,0
1019,hadoop.util.hash.type,The default implementation of Hash. Currently this can take one of the two values: 'murmur' to select MurmurHash and 'jenkins' to select JenkinsHash.,0,0,others,core,0,1
1020,hadoop.workaround.non.threadsafe.getpwuid,"Some operating systems or authentication modules are known to have broken implementations of getpwuid_r and getpwgid_r, such that these calls are not thread-safe. Symptoms of this problem include JVM crashes with a stack trace inside these functions. If your system exhibits this issue, enable this configuration parameter to include a lock around the calls as a workaround. An incomplete list of some systems known to have this issue is available at https://wiki.apache.org/hadoop/KnownBrokenPwuidImplementations",0,0,others,core,0,0
1021,hadoop.zk.acl,ACL's to be used for ZooKeeper znodes.,0,0,others,core,0,0
1023,hadoop.zk.auth,"Specify the auths to be used for the ACL's specified in hadoop.zk.acl. This takes a comma-separated list of authentication mechanisms, each of the form 'scheme:auth' (the same syntax used for the 'addAuth' command in the ZK CLI).",1,2,security-tradeoff,core,0,1
1024,hadoop.zk.num-retries,Number of tries to connect to ZooKeeper.,0,0,others,core,0,0
1025,hadoop.zk.retry-interval-ms,Retry interval in milliseconds when connecting to ZooKeeper.,0,0,others,core,0,0
1026,io.bytes.per.checksum,The number of bytes per checksum. Must not be larger than io.file.buffer.size.,1,1,resource,core,0,0
1027,io.compression.codec.bzip2.library,"The native-code library to be used for compression and decompression by the bzip2 codec. This library could be specified either by by name or the full pathname. In the former case, the library is located by the dynamic linker, usually searching the directories specified in the environment variable LD_LIBRARY_PATH. The value of ""system-native"" indicates that the default system library should be used. To indicate that the algorithm should operate entirely in Java, specify ""java-builtin"".",1,6,function-tradeoff,core,0,0
1028,io.compression.codecs,"A comma-separated list of the compression codec classes that can be used for compression/decompression. In addition to any classes specified with this property (which take precedence), codec classes on the classpath are discovered using a Java ServiceLoader.",0,0,others,core,0,0
1029,io.file.buffer.size,"The size of buffer for use in sequence files. The size of this buffer should probably be a multiple of hardware page size (4096 on Intel x86), and it determines how much data is buffered during read and write operations.",1,1,resource,core,0,0
1031,io.map.index.skip,Number of index entries to skip between each entry. Zero by default. Setting this to values larger than zero can facilitate opening large MapFiles using less memory.,1,5,workload-specific,core,0,0
1032,io.mapfile.bloom.error.rate,"The rate of false positives in BloomFilter-s used in BloomMapFile. As this value decreases, the size of BloomFilter-s increases exponentially. This value is the probability of encountering false positives (default is 0.5%).",0,0,others,core,0,1
1033,io.mapfile.bloom.size,"The size of BloomFilter-s used in BloomMapFile. Each time this many keys is appended the next BloomFilter will be created (inside a DynamicBloomFilter). Larger values minimize the number of filters, which slightly increases the performance, but may waste too much space if the total number of keys is usually much smaller than this number.",1,1,resource,core,0,0
1034,io.native.lib.available,Controls whether to use native libraries for bz2 and zlib compression codecs or not. The property does not control any other native libraries.,1,6,function-tradeoff,core,0,1
1035,io.seqfile.compress.blocksize,The minimum block size for compression in block compressed SequenceFiles.,1,5,workload-specific,core,0,1
1036,io.seqfile.local.dir,The local directory where sequence file stores intermediate data files during merge. May be a comma-separated list of directories on different devices in order to spread disk i/o. Directories that do not exist are ignored.,0,0,others,core,0,0
1037,io.serializations,A list of serialization classes that can be used for obtaining serializers and deserializers.,0,0,others,core,0,0
1039,ipc.client.connect.max.retries,Indicates the number of retries a client will make to establish a server connection.,0,0,others,core,0,0
1040,ipc.client.connect.max.retries.on.timeouts,Indicates the number of retries a client will make on socket timeout to establish a server connection.,0,0,others,core,0,0
1041,ipc.client.connect.retry.interval,Indicates the number of milliseconds a client will wait for before retrying to establish a server connection.,0,0,others,core,0,0
1042,ipc.client.connect.timeout,Indicates the number of milliseconds a client will wait for the socket to establish a server connection.,0,0,others,core,0,0
1044,ipc.client.fallback-to-simple-auth-allowed,"When a client is configured to attempt a secure connection, but attempts to connect to an insecure server, that server may instruct the client to switch to SASL SIMPLE (unsecure) authentication. This setting controls whether or not the client will accept this instruction from the server. When false (the default), the client will not allow the fallback to SIMPLE authentication, and will abort the connection.",1,2,security-tradeoff,core,0,0
1045,ipc.client.idlethreshold,Defines the threshold number of connections after which connections will be inspected for idleness.,1,5,workload-specific,core,0,1
1046,ipc.client.kill.max,Defines the maximum number of clients to disconnect in one go.,0,0,others,core,0,0
1047,ipc.client.low-latency,Use low-latency QoS markers for IPC connections.,1,4,limited-side-effect,core,0,0
